"replication","truth_id","truth_structure","alpha","k_deviation","quadrature_points","rpe_dev","integrated_squared_error","integrated_squared_deviation","basis_rank","centred_deviation_max_abs"
31,"cluster_a50","cluster",0.5,15,4001,0.0037388058391064,0.000129084200360372,9.23436983975479,15,1.20320420293751e-16
31,"cluster_a90","cluster",0.9,15,4001,0.00359367064233932,0.000129081806686003,9.99513102926316,15,1.50990331349021e-16
32,"coordinate_a50","coordinate",0.5,15,4001,0.00398112123854338,0.000129086599528303,8.14461113076727,15,3.87190279838023e-17
32,"coordinate_a90","coordinate",0.9,15,4001,0.00396524368937346,0.000129086443873804,8.20995679407858,15,4.71844785465692e-17
32,"cluster_a50","cluster",0.5,15,4001,0.00371373271516553,0.00012908403961352,9.35947009507638,15,1.12687636999453e-16
32,"cluster_a90","cluster",0.9,15,4001,0.00358918074104692,0.000129081774536633,10.0201510803275,15,1.3988810110277e-16
33,"coordinate_a50","coordinate",0.5,15,4001,0.00402527241535844,0.000129085218033091,7.96683749030066,15,4.26741975090295e-17
33,"coordinate_a90","coordinate",0.9,15,4001,0.00399942200631203,0.000129085672494003,8.07018662083516,15,4.48252546192407e-17
33,"cluster_a50","cluster",0.5,15,4001,0.00376131067638177,0.000129083530567004,9.12415011432469,15,1.00475183728577e-16
33,"cluster_a90","cluster",0.9,15,4001,0.00359763820602665,0.000129081672727329,9.97308708417714,15,1.37667655053519e-16
34,"coordinate_a50","coordinate",0.5,15,4001,0.00408843990229478,0.000129087201860673,7.72267841484156,15,4.81559236931162e-17
34,"coordinate_a90","coordinate",0.9,15,4001,0.00401079559279214,0.000129086644660243,8.02454199622087,15,3.95516952522712e-17
34,"cluster_a50","cluster",0.5,15,4001,0.00372383217938388,0.000129082527965796,9.30866199422492,15,1.29896093881143e-16
34,"cluster_a90","cluster",0.9,15,4001,0.00359099784831033,0.000129081472207088,10.0099894601572,15,1.28785870856518e-16
35,"coordinate_a50","coordinate",0.5,15,4001,0.00380782807318841,0.000129084338765085,8.90264163382182,15,4.77395900588817e-17
35,"coordinate_a90","coordinate",0.9,15,4001,0.00387842307901301,0.000129084913434229,8.58153786097116,15,4.05231403988182e-17
35,"cluster_a50","cluster",0.5,15,4001,0.00374920979489538,0.000129083676295469,9.18315341308896,15,1.23789867245705e-16
35,"cluster_a90","cluster",0.9,15,4001,0.0035955120454481,0.000129081701873022,9.98488774392999,15,1.53210777398272e-16
36,"coordinate_a50","coordinate",0.5,15,4001,0.00398968227430276,0.000129084869058585,8.10958660434988,15,3.66373598126302e-17
36,"coordinate_a90","coordinate",0.9,15,4001,0.0039681637486862,0.000129084746570648,8.19777050003788,15,4.08006961549745e-17
36,"cluster_a50","cluster",0.5,15,4001,0.00369602926002603,0.000129083048652892,9.44927335012398,15,1.3988810110277e-16
36,"cluster_a90","cluster",0.9,15,4001,0.00358596558691428,0.000129081576344507,10.038111731337,15,1.50990331349021e-16
37,"coordinate_a50","coordinate",0.5,15,4001,0.00392944446863739,0.000129085001056545,8.36013848097296,15,4.16333634234434e-17
37,"coordinate_a90","coordinate",0.9,15,4001,0.00393719143055102,0.00012908573735759,8.32731891808606,15,4.21884749357559e-17
37,"cluster_a50","cluster",0.5,15,4001,0.00376964649922366,0.00012908460086089,9.08391756516622,15,1.11299858218672e-16
37,"cluster_a90","cluster",0.9,15,4001,0.00359909339656683,0.000129081886786107,9.96504057434544,15,1.4210854715202e-16
38,"coordinate_a50","coordinate",0.5,15,4001,0.00393299159109902,0.000129084176257488,8.34501212321668,15,4.27435864480685e-17
38,"coordinate_a90","coordinate",0.9,15,4001,0.00394514583233176,0.000129085343329904,8.29374753467301,15,4.19109191795997e-17
38,"cluster_a50","cluster",0.5,15,4001,0.00371266919492895,0.000129083622926952,9.36480280541439,15,1.11022302462516e-16
38,"cluster_a90","cluster",0.9,15,4001,0.0035889885820436,0.000129081691199319,10.0212176223951,15,1.4210854715202e-16
39,"coordinate_a50","coordinate",0.5,15,4001,0.00394204279605831,0.000129087502682518,8.30694871865734,15,5.40539835114373e-17
39,"coordinate_a90","coordinate",0.9,15,4001,0.0039256090832326,0.000129086642781252,8.37658898360169,15,3.89965837399586e-17
39,"cluster_a50","cluster",0.5,15,4001,0.00374555098131915,0.000129083315986981,9.20107748302504,15,1.20459198171829e-16
39,"cluster_a90","cluster",0.9,15,4001,0.00359486577825359,0.000129081629811325,9.98847255791721,15,1.33226762955019e-16
40,"coordinate_a50","coordinate",0.5,15,4001,0.00395383923812019,0.000129086061401299,8.25736222075623,15,3.24740234702858e-17
40,"coordinate_a90","coordinate",0.9,15,4001,0.00396600022049788,0.000129085633292349,8.20677339196017,15,4.21884749357559e-17
40,"cluster_a50","cluster",0.5,15,4001,0.00373881401302519,0.000129082984467226,9.23424248117069,15,9.49240686054509e-17
40,"cluster_a90","cluster",0.9,15,4001,0.00359367183634201,0.000129081563507374,9.99510555754634,15,1.28785870856518e-16
41,"coordinate_a50","coordinate",0.5,15,4001,0.0039518613164546,0.000129086789313355,8.26567658146286,15,4.95957441781769e-17
41,"coordinate_a90","coordinate",0.9,15,4001,0.00394509522173227,0.000129086365346835,8.2940259990788,15,3.94129173741931e-17
41,"cluster_a50","cluster",0.5,15,4001,0.00373813724364646,0.000129082954628644,9.23758426706647,15,1.15463194561016e-16
41,"cluster_a90","cluster",0.9,15,4001,0.00359355160767256,0.000129081557539657,9.9957739147255,15,1.55431223447522e-16
42,"coordinate_a50","coordinate",0.5,15,4001,0.00397854339136514,0.00012908499512892,8.15506758740266,15,5.19029264012261e-17
42,"coordinate_a90","coordinate",0.9,15,4001,0.00396840616893528,0.000129085836044705,8.19683814769204,15,4.66293670342566e-17
42,"cluster_a50","cluster",0.5,15,4001,0.00370545253072561,0.000129083985458638,9.40134213041275,15,1.11022302462516e-16
42,"cluster_a90","cluster",0.9,15,4001,0.00358768168931438,0.000129081763705656,10.0285254873948,15,1.46549439250521e-16
43,"coordinate_a50","coordinate",0.5,15,4001,0.00382252268524287,0.000129084029795324,8.83430465418081,15,4.55191440096314e-17
43,"coordinate_a90","coordinate",0.9,15,4001,0.00391439473647647,0.000129084927247737,8.42454194176868,15,6.10622663543836e-17
43,"cluster_a50","cluster",0.5,15,4001,0.00369033324510584,0.000129082572217011,9.47843071044185,15,1.26010313294955e-16
43,"cluster_a90","cluster",0.9,15,4001,0.00358492311415992,0.000129081481057331,10.0439432034006,15,1.33226762955019e-16
44,"coordinate_a50","coordinate",0.5,15,4001,0.00397113010318727,0.000129087149076999,8.18568028193729,15,6.38378239159465e-17
44,"coordinate_a90","coordinate",0.9,15,4001,0.00397006630657315,0.000129086274584327,8.19001216417163,15,4.34374758384592e-17
44,"cluster_a50","cluster",0.5,15,4001,0.00373790812257533,0.000129083005534154,9.23872041025585,15,1.09356967925578e-16
44,"cluster_a90","cluster",0.9,15,4001,0.00359351090493179,0.000129081567720759,9.99600114336337,15,1.46549439250521e-16
45,"coordinate_a50","coordinate",0.5,15,4001,0.0040774889947757,0.000129084334797545,7.76404325006706,15,5.57887069874141e-17
45,"coordinate_a90","coordinate",0.9,15,4001,0.00399222232833695,0.000129085295128076,8.09929716100753,15,4.88498130835069e-17
45,"cluster_a50","cluster",0.5,15,4001,0.00374115953485006,0.000129083158185,9.22267969675914,15,9.2148511043888e-17
45,"cluster_a90","cluster",0.9,15,4001,0.0035940881241928,0.000129081598250929,9.99279300066403,15,1.35447209004269e-16
46,"coordinate_a50","coordinate",0.5,15,4001,0.004083521600082,0.000129084523504579,7.74113179734967,15,5.14865927669916e-17
46,"coordinate_a90","coordinate",0.9,15,4001,0.00401132413577088,0.000129085041455316,8.02232782921148,15,3.52495810318487e-17
46,"cluster_a50","cluster",0.5,15,4001,0.00371269248481109,0.000129083746738522,9.36469429636023,15,1.17128529097954e-16
46,"cluster_a90","cluster",0.9,15,4001,0.00358899281242819,0.000129081715961633,10.0211959205842,15,1.28785870856518e-16
47,"coordinate_a50","coordinate",0.5,15,4001,0.0039468910681744,0.000129084449961476,8.28635715134296,15,5.02375918642883e-17
47,"coordinate_a90","coordinate",0.9,15,4001,0.00393651863173247,0.000129084497226843,8.33008561294373,15,4.49640324973188e-17
47,"cluster_a50","cluster",0.5,15,4001,0.00370918486273232,0.000129082846282885,9.38234882651403,15,9.76996261670138e-17
47,"cluster_a90","cluster",0.9,15,4001,0.00358835819663051,0.000129081535870506,10.024726826615,15,1.50990331349021e-16
48,"coordinate_a50","coordinate",0.5,15,4001,0.00394656849224142,0.000129086370643449,8.28783510583879,15,4.5102810375397e-17
48,"coordinate_a90","coordinate",0.9,15,4001,0.00395216015443144,0.000129086179016079,8.26438755714418,15,3.71924713249427e-17
48,"cluster_a50","cluster",0.5,15,4001,0.00375975440713476,0.000129084696004223,9.13178761399431,15,1.09634523681734e-16
48,"cluster_a90","cluster",0.9,15,4001,0.00359736597452677,0.000129081905814773,9.97461458411106,15,1.50990331349021e-16
49,"coordinate_a50","coordinate",0.5,15,4001,0.00393151825173666,0.00012908586584459,8.35137720408616,15,6.21031004399697e-17
49,"coordinate_a90","coordinate",0.9,15,4001,0.00392665596272678,0.000129085641719991,8.37205811545919,15,3.81639164714898e-17
49,"cluster_a50","cluster",0.5,15,4001,0.00374626588998061,0.000129083599283646,9.19758627764906,15,1.17961196366423e-16
49,"cluster_a90","cluster",0.9,15,4001,0.00359499222282608,0.000129081686470658,9.98777431684201,15,1.28785870856518e-16
50,"coordinate_a50","coordinate",0.5,15,4001,0.00394053608911249,0.000129084871936479,8.31313301657865,15,4.40619762898109e-17
50,"coordinate_a90","coordinate",0.9,15,4001,0.00396528063024841,0.000129085557457477,8.20974745011564,15,3.66373598126302e-17
50,"cluster_a50","cluster",0.5,15,4001,0.00372908611720926,0.000129084997619696,9.28262797780256,15,8.21565038222616e-17
50,"cluster_a90","cluster",0.9,15,4001,0.00359193903309151,0.000129081966137868,10.0047826568727,15,1.19904086659517e-16
