"replication","truth_id","truth_structure","alpha","sigma","overall_signal_ms","deviation_signal_ms","overall_signal_rms","deviation_signal_rms","snr_overall","snr_dev"
23,"cluster_a50","cluster",0.5,0.5,0.525841619119196,0.371491619119196,0.725149377107363,0.609501123148429,2.10336647647679,1.48596647647679
23,"cluster_a90","cluster",0.9,0.2,0.553179990388178,0.398829990388178,0.743760707746906,0.631529880835561,13.8294997597045,9.97074975970446
23,"cluster_a90","cluster",0.9,0.5,0.553179990388178,0.398829990388178,0.743760707746906,0.631529880835561,2.21271996155271,1.59531996155271
24,"coordinate_a50","coordinate",0.5,0.2,0.483253828407258,0.328903828407258,0.695164605260695,0.573501376116272,12.0813457101814,8.22259571018145
24,"coordinate_a50","coordinate",0.5,0.5,0.483253828407258,0.328903828407258,0.695164605260695,0.573501376116272,1.93301531362903,1.31561531362903
24,"coordinate_a90","coordinate",0.9,0.2,0.484434588065989,0.330084588065989,0.696013353367584,0.57452988439766,12.1108647016497,8.25211470164972
24,"coordinate_a90","coordinate",0.9,0.5,0.484434588065989,0.330084588065989,0.696013353367584,0.57452988439766,1.93773835226396,1.32033835226395
24,"cluster_a50","cluster",0.5,0.2,0.522629176044673,0.368279176044673,0.722930962156604,0.606860095940302,13.0657294011168,9.20697940111682
24,"cluster_a50","cluster",0.5,0.5,0.522629176044673,0.368279176044673,0.722930962156604,0.606860095940302,2.09051670417869,1.47311670417869
24,"cluster_a90","cluster",0.9,0.2,0.552537501773274,0.398187501773274,0.743328663360477,0.631020999470916,13.8134375443318,9.95468754433184
24,"cluster_a90","cluster",0.9,0.5,0.552537501773274,0.398187501773274,0.743328663360477,0.631020999470916,2.21015000709309,1.59275000709309
